Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8705730,2019-07-23 10:26:24,2019-03-10 08:57:17,40531142,6160733584,40531142,152,2187,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705730,SRX5501217,LIB11094432.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470284,SAMN11094432,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_284_2B3-1,,,,284,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,CF833E3A0EC94DE8B7C53CA4793DB3AD,8AF6F16C7A42408C8D27CD038964CC58
SRR8705731,2019-07-23 10:26:23,2019-03-10 08:45:14,41121608,6250484416,41121608,152,2262,,https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008501/SRR8705731,SRX5501216,LIB11094433.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470283,SAMN11094433,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_285_2C3-1,,,,285,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,04A62690D2735D4D1B6C8DD3604F84F5,C9B0E79B76043FC039863EC8F82A52F7
SRR8705728,2019-07-23 10:26:23,2019-03-10 08:48:29,51336855,7803201960,51336855,152,2786,,https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008501/SRR8705728,SRX5501219,LIB11094434.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470286,SAMN11094434,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_286_2D3-1,,,,286,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,D45A9A190E5112A43EAB5CD2DC87FE2C,21E17851B645531B4BD202F30633B1B8
SRR8705729,2019-07-23 10:26:23,2019-03-10 08:47:37,48466970,7366979440,48466970,152,2689,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705729,SRX5501218,LIB11094435.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470285,SAMN11094435,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_287_2E3-1,,,,287,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,5BD9B9C9DAA182C48FBB9DCD887B839B,B10D0D887019D87A06AA33AD717AF2A2
SRR8705734,2019-07-23 10:26:23,2019-03-10 08:45:47,47263338,7184027376,47263338,152,2576,,https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008501/SRR8705734,SRX5501213,LIB11094436.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470282,SAMN11094436,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_288_2F3-1,,,,288,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,DBF2FC76D72E589F9D711E4E19D8D978,4B50EAE0C368A2E3192685928016C713
SRR8705735,2019-07-23 10:26:23,2019-03-10 08:35:53,16846275,2560633800,16846275,152,899,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705735,SRX5501212,LIB11094437.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470281,SAMN11094437,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_289_2G3-1,,,,289,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,C242B6D02403EB0159A54071F039FEDA,F204FE05C92D4FC0A796E6F771901D51
SRR8705732,2019-07-23 10:26:23,2019-03-10 08:36:11,20076842,3051679984,20076842,152,1092,,https://sra-download.ncbi.nlm.nih.gov/traces/sra0/SRR/008501/SRR8705732,SRX5501215,LIB11094437.2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470281,SAMN11094437,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_289_2G3-1,,,,289,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,A673F3B1CA898277FD74E9E4DC33E478,4F77946F96037A423F2EC15F3AFCE4BF
SRR8705733,2019-07-23 10:26:23,2019-03-10 08:40:20,28958672,4401718144,28958672,152,1538,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/008501/SRR8705733,SRX5501214,LIB11094438.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470280,SAMN11094438,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_291_2H3-1,,,,291,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,53AC11E8646E88655A883538589A15C6,F290CD24E3FFF6B7D954ED6457A3BDF8
SRR8705736,2019-07-23 10:26:23,2019-03-10 08:40:11,35149883,5342782216,35149883,152,1898,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008501/SRR8705736,SRX5501211,LIB11094438.2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470280,SAMN11094438,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_291_2H3-1,,,,291,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,65C0F75E7DB756156EE887B8026F4F26,472EE9C30E3B823B718B9D65940DF49F
SRR8705685,2019-07-23 10:26:24,2019-03-10 08:49:55,53876455,8189221160,53876455,152,2916,,https://sra-download.ncbi.nlm.nih.gov/traces/sra41/SRR/008501/SRR8705685,SRX5501262,LIB11094439.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470320,SAMN11094439,simple,10116,Rattus norvegicus,Kidney_12Mo_fasted_292_2A4-1,,,,292,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,A91AE75EA8CE617AAE94E2900C49D8C6,95A6734EB3F1B3C8CA4F1086A1DE78AD
SRR8705741,2019-07-23 10:26:23,2019-03-10 08:30:56,4804658,730308016,4804658,152,257,,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008501/SRR8705741,SRX5501206,LIB11094440.1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP181051,PRJNA516151,,516151,SRS4470277,SAMN11094440,simple,10116,Rattus norvegicus,Kidney_18Mo_fasted_227_2B4-1,,,,227,male,,no,,,,,NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH,SRA858157,,public,5B484FC56EB5E690F6318BA55BEC5099,F0A1A356B39A4B78970816B473DEE955
